title,author,description,link,platforms,pg,example_download_link
The Night Fisherman,Far Few Giants,"A tense, thought-provoking 3D visual novel",https://farfewgiants.itch.io/night-fisherman,"Windows, macOS",1,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=1
This Call May Be Recorded,Jon Topielski,Welcome to your new job as a Telemarketer!,https://jontopielski.itch.io/this-call-may-be-recorded,"Windows, Linux, macOS",1,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=1
The Space Between,chrstphfr,The Space Between is a surreal narrative experience in three acts.,https://chrstphfr.itch.io/the-space-between,Windows,1,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=1
For The Honor,Mx. Quinn,Magical Princesses making messy choices.,https://mxquinn.itch.io/for-the-honor,,1,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=1
Neon Blight: Final Demo,Bleeding Tapes,cyberpunk metroidvania/gun store management game,https://bleeding-tapes.itch.io/neon-blight-final-demo,,1,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=1
Glitter Hearts,Greg L,A magical transforming heroes RPG.,https://gleather.itch.io/glitter-hearts,,1,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=1
Babysitter Bloodbath,Puppet Combo,"A simple night of babysitting turns into an unspeakable nightmare.. VHS era, low poly slasher. PS1 style survival horror",https://puppetcombo.itch.io/babysitter-bloodbath,Windows,1,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=1
A Mortician's Tale,Laundry Bear Games,A death-positive game where you play as a mortician tasked with running a funeral home,https://laundrybear.itch.io/morticians-tale/download/Lw_67XjY4ZCSMc6arqTV_Z9xvfpngERBnNkt_fUf,"Windows, macOS",1,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=1
Oxenfree,Night School Studio,A supernatural thriller about a group of friends who unwittingly open a ghostly rift,https://night-school-studio.itch.io/oxenfree,"Windows, Linux, macOS",1,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=1
Lancer Core Book: First Edition PDF,Massif Press,"The core rulebook and setting guide for Lancer, a game centered on pilots and their mechs.",https://massif-press.itch.io/corebook-pdf,,1,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=1
Desktop Goose,samperson,I have created a goose that lives on your desktop. He is an asshole.,https://samperson.itch.io/desktop-goose,"Windows, macOS",1,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=1
Sewer Rave,Autumn Rain,PARTY WITH RATS,https://slitherpunk.itch.io/sewer-rave,"Windows, Linux, macOS",1,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=1
Mausritter,Losing Games,Sword-and-whiskers roleplaying,https://losing-games.itch.io/mausritter,,1,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=1
Unobelisk,Ghostwind,A pretentious test for hopeless machines,https://ghostwind.itch.io/unobelisk,Windows,1,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=1
KISSING COMRADES,Adira Slattery,200 word LARP of anti-fascist makeouts,https://adira.itch.io/kissing-comrades,,1,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=1
