title,author,description,link,platform(s),pg,example_download_link
Last Knight: Rogue Rider Edition,Toco Games,Last Knight is over-the-top jousting action in a beautiful brutal fantasy world!,https://tocogames.itch.io/last-knight,"Windows, macOS",1,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=1
Just Another Day at the Office,Working Class Games,office worker on a rampage,https://workingclassgames.itch.io/just-another-day-at-the-office,Windows,1,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=1
Star and Light 1.0,K.hermann,Star and light 1.0 : The Red sacrifice is a puzzle flash game,https://airman4.itch.io/star-and-light-10,Windows,1,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=1
Dreaming Sarah,Asteristic Game Studio,A surreal adventure platformer.,https://asteristic.itch.io/dreamingsarah,"Windows, Linux, macOS, Android",1,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=1
Guppy,Christiaan Moleman,2D watercolor fish simulation,https://ninjadodo.itch.io/guppy,"Windows, Linux, macOS, Android",1,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=1
Shipwreck,Brushfire Games,"An adventure game in which you must travel the land, explore dungeons, and defeat monsters to escape the island.",https://brushfiregames.itch.io/shipwreck,"Windows, Linux, macOS",1,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=1
Crashed Lander,Don Whitaker,"Outwit gravity, explore new worlds.",https://don-whitaker.itch.io/crashedlander,"Windows, Linux, macOS",1,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=1
Kenney Game Assets 1,Kenney,"20,000+ game assets for use in your games!",https://kenney.itch.io/kenney-game-assets-1,,1,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=1
Airships: Conquer the Skies,Zarkonnen,Design & fight with steampunk airships,https://zarkonnen.itch.io/airships,"Windows, Linux, macOS",1,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=1
DANGEROUS DUELS,Sophie Houlden,Western Local Multiplayer Quick-Draw Deathmatch,https://sophieh.itch.io/dangerousduels,"Windows, Linux, macOS",1,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=1
Time Stone,Scared Square Games,Uncover the Professor’s secret and rescue him from the evil clutches of the Warlock!,https://scared-square-games.itch.io/time-stone,Windows,1,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=1
east van EP,ceMelusine,A Videogame Extended Play,https://cemelusine.itch.io/east-van-ep,"Windows, macOS",1,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=1
Autumn,Bit Outside the Box,,https://nunodonato.itch.io/autumn,"Windows, Linux, macOS",1,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=1
Devtheism,fahmitsu,,https://fahmitsu.itch.io/devtheism,Windows,1,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=1
LAZA KNITEZ!!,Glitchnap,LAZA KNITEZ!! is a fast-paced jousting deathmatch game for up to 4 players.,https://glitchnap.itch.io/lazaknitez,"Windows, macOS",1,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=1
Spell Casting,Gord Games,Cast spells by tracing shapes!,https://gordgames.itch.io/spell-casting,"Windows, Linux, macOS",1,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=1
Not the Robots,2DArray,Not The Robots is this year’s most exciting Roguelike Stealth Furniture Eating Simulator.,https://2darray.itch.io/not-the-robots,"Windows, Linux, macOS",1,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=1
Paranautical Activity,CodeAvarice,The impossibly fast FPS rogue-like.,https://codeavarice.itch.io/paranautical-activity,"Windows, Linux, macOS",1,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=1
QLRZ [Windows/Android/Linux],QLRZ studio,mixing & matching colors action/puzzle videogame,https://qlrz.itch.io/qlrz,"Windows, Linux",1,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=1
Little Cells,Fully Bugged,Quick and fun 2D puzzle high-score game.,https://fully-bugged.itch.io/fully-bugged-little-cells,"Windows, Linux, macOS",1,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=1
Switch 'N' Shoot,Matt Glanville,Endless arcade action with just ONE button,https://crowbarska.itch.io/switch-n-shoot,"Windows, Linux, macOS, Android",1,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=1
ARGH-P-G,liamtwose,Fast paced dungeon crawler,https://liamtwose.itch.io/arghpg,"Windows, Linux, macOS, Android",1,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=1
Visual Out,madameberry,Broken.  Abandoned.  Replaced.,https://madameberry.itch.io/visual-out,"Windows, Linux, macOS",1,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=1
Destiny Fails Us: A New Life,Strawberry Dagger Studio,It's time to start a new life.,https://sbds.itch.io/dfu-otome,"Windows, Linux, macOS",1,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=1
MidBoss,Eniko,A possession based traditional roguelike with turn-based gameplay.,https://eniko.itch.io/midboss,"Windows, Linux, macOS",1,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=1
Eizoku,catoverlord,,https://catoverlord.itch.io/eizoku,Windows,1,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=1
I See You,catoverlord,,https://catoverlord.itch.io/i-see-you,,1,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=1
Inkanians,Kronbits,"Puzzle game on you control a squared-incas moving boxes, slide blocks, teleport...",https://kronbits.itch.io/inkanians,"Windows, macOS, Android",1,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=1
