title,author,description,link,platforms,pg,example_download_link
Sky Rogue,Fractal Phase,"A fwooshy, intense, procedurally generated fly-em-up",https://fractal-phase.itch.io/sky-rogue,"Windows, Linux, macOS",1,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=1
MewnBase,Cairn4,Planet exploration and survival game with base building.,https://cairn4.itch.io/mewnbase,"Windows, Linux, macOS",1,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=1
Celeste,Matt Makes Games,Brave hundreds of hand-crafted challenges as you help Madeline survive her journey to the top of Celeste Mountain!,https://mattmakesgames.itch.io/celeste,"Windows, Linux, macOS",1,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=1
"Walden, a game",GameInnovationLab,Experience Henry David Thoreau's life in Walden Woods.,https://gameinnovationlab.itch.io/walden,"Windows, macOS",1,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=1
Mu Cartographer,Titouan Millet,Experimental Colourful Exploration Machine,https://titouanmillet.itch.io/mu-cartographer,"Windows, macOS",1,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=1
NIGHT OF THE CONSUMERS,germfood,RETAIL IS HELL,https://germfood.itch.io/nightoftheconsumers,Windows,1,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=1
Lenna's Inception,ByttenStudio,Procedurally generated Gameboy-style action-adventure game,https://tccoxon.itch.io/lennas-inception,"Windows, Linux, macOS",1,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=1
Odd Realm,UnknownOriginGames,Take control of a group of settlers to build a settlement that survives the passing seasons.,https://unknownorigingames.itch.io/oddrealm,"Windows, Linux, macOS",1,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=1
Hex Kit,Cone Of Negative Energy,Hex Mapping tool for table top RPGs,https://cone.itch.io/hex-kit,"Windows, Linux, macOS",1,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=1
Fugue in Void,Moshe Linke,experimental exploration game,https://moshelinke.itch.io/fugue-in-void,"Windows, Linux, macOS",1,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=1
Long Gone Days,Camila Gormaz,"Modern-day RPG that imagines the world of war that's coming for us, with a focus on civilians and language barriers.",https://laburatory.itch.io/lgd,"Windows, macOS",1,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=1
Secret Little Haven,Victoria Dominowski,"A game about a trans girl discovering herself through fandom, chats, and the early internet.",https://ristar.itch.io/secret-little-haven,"Windows, Linux, macOS",1,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=1
2064: Read Only Memories,MidBoss,A New Cyberpunk Adventure,https://midboss.itch.io/rom,"Windows, Linux, macOS",1,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=1
ISLANDS: Non-Places,Carlburton LLC,A surreal trip through the mundane,https://carlburton.itch.io/islands,"Windows, Linux, macOS",1,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=1
Quiet as a Stone,Distant Lantern,Throw Rocks Plant Trees. Ambient slow game for casual creators. Countryside exploration and creation.,https://distantlantern.itch.io/quietasastone,"Windows, macOS",2,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=2
Depth of Extinction,HOF Studios,Explore a flooded world in this tactical RPG,https://hofstudios.itch.io/doe,"Windows, Linux, macOS",2,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=2
From Orbit,Tentacle Head Games,A quick and light single player Action RTS.,https://tentaclehead.itch.io/from-orbit,"Windows, Linux, macOS",2,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=2
Dungeons & Lesbians,Noeybodys,Mildly dating your BFFs in the midsts of a game of D&D,https://noeybodys.itch.io/dungeonsandlesbians,"Windows, Linux, macOS",2,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=2
Milkmaid of the Milky Way,machineboy,"Award-winning, rhyming point'n'click adventure",https://machineboy.itch.io/milkmaid-of-the-milky-way,"Windows, Linux, macOS",2,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=2
Nuclear Throne,Vlambeer,Can you reach the Nuclear Throne?,https://vlambeer.itch.io/nuclear-throne,"Windows, Linux, macOS",2,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=2
KIDS,Playables,A game of crowds.,https://playables.itch.io/kids,"Windows, Linux, macOS",2,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=2
Dujanah,jackspinoza,The cost of seeking impossible goals,https://jackspinoza.itch.io/dujanah,"Windows, Linux, macOS",2,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=2
